section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,1,1715934405473601645,1715934405553573645,79,453.647,486.371,-9.04373238077445,4.021553964619933
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,2,1715934405633649645,1715934405913603645,279,436.82,502.656,-10.310455082068044,2.7889398257485016
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,3,1715934405953598645,1715934406281646645,328,533.186,532.469,-3.0067358565740805,0.543889868154741
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,4,1715934406341576645,1715934406553591645,212,491.321,452.297,-6.204105173332616,6.60872073430486
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,5,1715934406593599645,1715934406825612645,232,558.472,490.795,-1.092411557053377,3.7034412993372086
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,6,1715934406865620645,1715934407097602645,231,455.757,424.863,-8.93696779645619,8.665772789468283
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,7,1715934407157610645,1715934407473593645,315,615.258,472.436,3.221315788461871,5.093918288125365
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,8,1715934407501576645,1715934409193601645,1692,587.633,450.43,1.1246582758835422,6.764412532741461
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,9,1715934409213586645,1715934409593638645,380,530.987,428.663,-3.1950810348827914,8.409869832485548
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,10,1715934409653615645,1715934409861655645,208,425.571,580.071,-11.162962267043378,-3.0425898273923035
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,11,1715934409901625645,1715934410113621645,211,511.2,579.135,-4.675516140566821,-2.9894422684914717
d11c8f71-ffe6-4193-88ed-f43d8c85ecd9,b75e688c-f0c7-4e4d-9879-de3de8be5640,12,1715934410153859645,1715934410553558645,399,605.912,574.506,2.5055335000414436,-2.6419871228657517
